METRIC_ID,METRIC_NAME,REPORT_NAME,count,total_hours,metric_category
34005.0,Notes viewed,Notes Activity Display,437612,2486.80782960123,Note Review
34140.0,Inpatient system list accessed,,779862,1894.46747740003,Navigation
20620.0,Visit Navigator template loaded,,325660,1609.5435405657,Navigator
17256.0,Results Review accessed,,208511,1375.72156905121,Chart Review
34002.0,Viewed Handoff Data,,224767,1295.33495988369,Handoff
17108.0,Order list changed,,124964,855.886872957017,Order Entry
17008.0,Report with patient data viewed,IP Vitals Patient List,206223,684.159699938827,Chart Review
17008.0,Report with patient data viewed,IP Sidebar Physician Index,282916,672.395375913514,Chart Review
17007.0,Report viewed for an order,,97119,624.79592550781,Chart Review
17227.0,Chart Review Note report viewed,Progress Notes,74946,584.897426298724,Note Review
,ED Workup Activity viewed,,94822,497.897523698541,Chart Review
17027.0,Chart Review Notes tab selected,,126730,463.266904527346,Chart Review
17703.0,Problem and relevant info viewed in Problem List,,40225,383.068996932506,Chart Review
20607.0,Storyboard viewed,IP Inpatient Physician Storyboard,332478,361.751723598109,Navigator
20001.0,In Basket message viewed,,91728,329.58743030813,Inbox
34150.0,Order Reconciliation Section accessed,,39119,326.81927231974,Order Entry
17250.0,Problem List accessed,,83730,323.086520134343,Chart Review
17000.0,Chart Review Encounters tab selected,,130237,300.123400356504,Chart Review
17012.0,Chart Review Other Orders tab selected,,87408,272.640334658887,Chart Review
17258.0,Results Review exited,,114810,259.659667174286,Navigation
17008.0,Report with patient data viewed,IP Comprehensive Flowsheet,28664,256.76774282217,Chart Review
17008.0,Report with patient data viewed,MR STORYBOARD PREFERRED NAME HOVER BUBBLE,27510,252.315765496359,Chart Review
20080.0,Imaging PACS accessed,,13631,243.055226478046,Imaging
17008.0,Report with patient data viewed,IP Vitals,31461,237.027730723751,Chart Review
34003.0,Edited Handoff Data,,67752,228.226503465705,Handoff
17288.0,Schedule loaded,,71921,198.73944293287,Navigation
14200.0,Printing occurred,,24734,196.492972894509,NULL
17338.0,BestPractice Advisories displayed,,78708,189.405854862796,BPA
17008.0,Report with patient data viewed,IP Labs Since Admission,38763,180.40931763596,Chart Review
,ED Triage Activity viewed,,25137,179.842214384343,Chart Review
17008.0,Report with patient data viewed,IP Patient Header Treatment Team,17868,172.932320800092,Chart Review
17008.0,Report with patient data viewed,IP MAR History,14646,152.340606645478,Chart Review
17008.0,Report with patient data viewed,AMB PATIENT SNAPSHOT (HTML/CSS),28205,151.640441044966,Chart Review
17008.0,Report with patient data viewed,ED Notewriter Triage,12467,151.227722286648,Chart Review
17008.0,Report with patient data viewed,MR NOTEWRITER SNAPSHOT,14950,151.13523279137,Chart Review
34704.0,Intake/Output activity accessed,,15237,148.509188246197,Chart Review
17141.0,Image viewed,,12635,147.932984199258,Imaging
17336.0,BestPractice Advisories viewed,,19167,142.554979270564,BPA
17008.0,Report with patient data viewed,IP Labs 72h,42717,140.507248774369,Chart Review
17227.0,Chart Review Note report viewed,H&P,11360,132.026375373999,Note Review
17234.0,Chart Review Order report viewed,RAD Results Report,21595,131.454242684841,Results Review
17008.0,Report with patient data viewed,IP Adult Clinical Overview,107741,130.874898094866,Chart Review
20008.0,In Basket message created,,100437,129.055360118548,NULL
17227.0,Chart Review Note report viewed,Discharge Summary,10056,120.130149111217,Note Review
34161.0,Inpatient Patient Lists list loaded,,474284,119.656789422829,Navigation
72001.0,Care Everywhere document accessed,,14048,119.174397029346,Chart Review
17234.0,Chart Review Order report viewed,BW Result Report: Lab Integrated Result Template,38797,118.787664231194,Chart Review
94023.0,Report viewed,Progress Notes,12807,115.13364787605,Note Review
60005.0,View clinical notes section,,21699,113.506013564798,Note Review
60005.0,View clinical notes section,IP Hospital Course Note,21466,112.821540249718,Note Review
14070.0,User authenticated,,75621,109.757887091901,Navigation
60012.0,Clinical Note Signed,Assessment & Plan Note,26463,109.228494036197,Note Entry
17227.0,Chart Review Note report viewed,ED Provider Notes,11182,106.414243669509,Note Review
17227.0,Chart Review Note report viewed,Consults,10420,104.358602805932,Note Review
49005.0,Viewed Discharge Instructions,,9521,102.01478082021,Discharge
17008.0,Report with patient data viewed,IP Handoff Report,26707,101.42780958467,Handoff
17008.0,Report with patient data viewed,IP MD Discharge Status,35913,98.9025737513436,Chart Review
17008.0,Report with patient data viewed,ED HOME MEDS (NAVIGATOR),18457,97.5150343065791,Chart Review
17228.0,Chart Review Encounter report viewed,Amb Encounter Summary with Link to Core Summary,10913,95.8803104866875,Chart Review
20607.0,Storyboard viewed,MR Primary Care Storyboard,70463,90.7659488985273,Navigator
17008.0,Report with patient data viewed,IP Pediatric Clinical Overview,57973,89.136686931716,Chart Review
,ED Disposition Activity viewed,,41729,86.4651292522748,Discharge
17008.0,Report with patient data viewed,IP Glucose Management,12229,85.9736603938208,Chart Review
60006.0,View clinical note from copy previous,Progress Notes,6079,83.5695376065042,Note Entry
17008.0,Report with patient data viewed,Patient Header New Results Hover,18968,83.0043044975068,Chart Review
94023.0,Report viewed,HKU PATIENT SUMMARY WITH ROUNDING INFO,30216,81.9092483215861,Chart Review
17008.0,Report with patient data viewed,AN NoteWriter Patient Snapshot Pre/Post Dynamic,6949,80.2176625029246,Chart Review
17281.0,Chart Search result hover bubble viewed,,38262,79.398135573599,Chart Review
17008.0,Report with patient data viewed,Encounter Vitals Hover,7248,79.2870559038056,Chart Review
17227.0,Chart Review Note report viewed,Telephone Encounter,33078,78.1810210299491,Note Review
17158.0,Visit diagnoses viewed,,18045,77.2537479962243,Chart Review
20022.0,In Basket folder loaded,,54882,77.2044681694772,Inbox
20030.0,SmartLink used,,10862,74.8633186509874,NULL
17008.0,Report with patient data viewed,IP Nursing Clinical Overview,49132,62.9291810989379,Chart Review
94018.0,Results table viewed,,10894,60.5234939175182,Results Review
17251.0,Problem List modified,,44242,58.8685003985299,Note Entry
17008.0,Report with patient data viewed,IP All Signed and Held Orders,5994,57.4646898372968,Chart Review
17008.0,Report with patient data viewed,IP Patient Header Active Meds Hover,7690,56.8300769511858,Chart Review
94270.0,Active Orders viewed,,4178,54.4337475286589,Order Entry
17008.0,Report with patient data viewed,IP Microbiology Results,7134,54.0706482916408,Chart Review
17008.0,Report with patient data viewed,Rx Recent Medication Administrations,6648,52.6226920069588,Chart Review
17006.0,Chart Review Medications tab selected,,8822,50.2989087520705,Chart Review
20607.0,Storyboard viewed,ED Physician Storyboard,55507,49.0912871588601,Navigator
27115.0,History activity accessed,,15709,47.9898568616972,Chart Review
17008.0,Report with patient data viewed,ED Orders - Sidebar Report,24248,47.1009412344296,Chart Review
17228.0,Chart Review Encounter report viewed,Report Redirector,8308,45.9688040426042,Chart Review
17234.0,Chart Review Order report viewed,CV Echo Report,4484,45.5934402632713,Results Review
17008.0,Report with patient data viewed,BW Shared Storyboard Allergies Override - Rx,5964,44.6394855546951,Chart Review
17008.0,Report with patient data viewed,ED Notes from Clinical Staff,28119,44.5882953561676,Note Review
94013.0,Notes Review accessed,,19870,44.5629326783286,Note Review
17228.0,Chart Review Encounter report viewed,AMB Appointment Report,9363,41.8031561136245,Chart Review
17008.0,Report with patient data viewed,SEC_REVIEWABLE_INFO_VERT_PAMH,28926,40.1093739697668,Chart Review
17008.0,Report with patient data viewed,AMB Pediatric Review,5031,38.9284323342641,Chart Review
94012.0,Results List viewed,,12918,38.2204013776779,Results Review
17245.0,Demographics viewed,,5122,38.0762700623936,Chart Review
60012.0,Clinical Note Signed,Progress Notes,17531,37.6977104526095,Note Entry
20607.0,Storyboard viewed,CV Cardiology IP Physician Storyboard,32480,37.686329872873,Navigator
19041.0,Patient selected from Patient Lookup,,14330,37.46764318996,Navigation
17008.0,Report with patient data viewed,IP 72h I/O,8668,37.1039025057686,Chart Review
17008.0,Report with patient data viewed,MR SnapShot - Mark as Reviewed,11942,36.6657778694894,Chart Review
60010.0,Pend clinical note,Progress Notes,18011,36.534943593608,Note Entry
17008.0,Report with patient data viewed,IP Weights,5719,35.2417035712136,Chart Review
17008.0,Report with patient data viewed,Patient Code Status Adv Directives Hover,5164,34.9665142006344,Chart Review
34245.0,Sign In viewed,,7082,34.7265476255946,NULL
17234.0,Chart Review Order report viewed,LAB CHART REVIEW ORDERS REPORT - HYPERLINK,11000,34.7138700048128,Chart Review
17008.0,Report with patient data viewed,IP Newborn Rounding Report,3590,33.9158972771962,Chart Review
94023.0,Report viewed,H&P,2505,33.5295365752114,Note Review
17008.0,Report with patient data viewed,ED Visit - Physician,5534,33.1976262426376,Note Review
17821.0,Care Teams viewed,,6012,33.141806250943,NULL
,Orders accessed in Single Screen Disposition,,11637,32.5074865844514,Order Entry
17008.0,Report with patient data viewed,IP ORD MANAGE RELEASE ORDERS,8044,32.4738612360424,Chart Review
94200.0,Haiku login,,16319,32.189503583908,Navigation
17380.0,Automatic actions performed by a BestPractice Advisory,,11779,31.6148782904942,BPA
17008.0,Report with patient data viewed,IP Labs 21 Day,3786,30.9534635138511,Chart Review
17213.0,Pharmacy for encounter modified,,2654,30.6541383245256,Order Entry
14011.0,Login failed,,6194,29.2457494086689,Navigation
17008.0,Report with patient data viewed,Sidebar Report Top,27408,29.204083650377,Chart Review
49003.0,Visit diagnoses modified,,9690,29.0417293511496,Note Entry
34118.0,Order sets accessed,,1572,28.4704266606436,Order Entry
17008.0,Report with patient data viewed,AMB History Navigator Report,9735,28.3113747694757,Chart Review
17008.0,Report with patient data viewed,IP Readmission Risk Admission Nav,1753,28.190067750083,Chart Review
17624.0,Communication Management exited,,7149,28.1825330758094,Inbox
94023.0,Report viewed,HKU ORDER RESULTS,3842,27.6705647145377,Chart Review
17228.0,Chart Review Encounter report viewed,Encounter: Conversation BW,7120,27.6531860645612,Chart Review
20607.0,Storyboard viewed,OB Newborn Provider Storyboard,28600,27.6270325915018,Navigator
17008.0,Report with patient data viewed,Blood Admin Procedure Ordering Report,10257,26.7548691127035,Chart Review
17822.0,Care Teams exited,,6008,26.1769045665529,NULL
17008.0,Report with patient data viewed,IP Fever/Antibiotic Dosing,4499,26.0504296342531,Chart Review
17008.0,Report with patient data viewed,IP Radiology Results,4339,24.5862247496181,Chart Review
49015.0,Vist Navigator SmartForm Flowsheet section viewed,,18279,24.1150596833229,Navigator
20005.0,Page triggered based on In Basket message,,11329,24.0941778993606,Inbox
17227.0,Chart Review Note report viewed,,6565,23.6944211167759,Note Review
17227.0,Chart Review Note report viewed,Plan of Care,9236,23.6102791841824,Note Review
17008.0,Report with patient data viewed,Rx acetaminophen ordering instructions,9015,23.5871927791171,Chart Review
94023.0,Report viewed,Consults,2092,23.2560276910993,Note Review
34706.0,Flowsheet viewed,,3495,23.1506755736139,Chart Review
17228.0,Chart Review Encounter report viewed,ED Encounter: ED,2996,22.8941004652447,Chart Review
17008.0,Report with patient data viewed,IP Patient Header Length of Stay - Admitted Patient,2963,22.585014869372,Chart Review
,MyNote opened,ED Provider Notes,3251,22.4350411430994,Note Entry
17234.0,Chart Review Order report viewed,Medication Order Report,3444,21.9854315956433,Chart Review
17008.0,Report with patient data viewed,ED Orders - Sidebar Report Without Sepsis Checklist,9259,21.5519228802786,Chart Review
17321.0,New alternative orders accepted,,1609,21.1460537550184,Order Entry
72013.0,Other Results tab accessed in Care Everywhere activity,,2047,20.4547424038251,Chart Review
60006.0,View clinical note from copy previous,Subjective & Objective,1439,20.4269250962469,Note Entry
17008.0,Report with patient data viewed,CV STORYBOARD PATIENT IMPLANT REPORT,1319,20.2546902974446,Chart Review
17008.0,Report with patient data viewed,Sidebar Report,2126,20.1083768555853,Chart Review
,In Basket glance plugin accessed in Radar,,1863,20.0207032873895,Inbox
17008.0,Report with patient data viewed,IP Orders Need Cosign for Navigator,13504,19.6401198148727,Chart Review
72012.0,Lab Results tab accessed in Care Everywhere activity,,2523,19.5043771319919,Chart Review
20607.0,Storyboard viewed,ED Track Board Workspace Header,60246,19.4943582126829,Navigator
49025.0,Edited Discharge Instructions,,5960,19.4888763464821,Discharge
17280.0,Chart searched,,11822,19.4776086338361,Chart Review
17008.0,Report with patient data viewed,CAR Snapshot,16280,19.2372487126456,Chart Review
17360.0,Reconcile Outside Information accessed,,1743,19.1590853508313,Order Entry
17227.0,Chart Review Note report viewed,Significant Event,3324,18.7727236776881,Note Review
17008.0,Report with patient data viewed,RX CRCL HOVER,1478,18.7488605785369,Chart Review
17008.0,Report with patient data viewed,Storyboard Registries Report,2631,18.666004002624,Chart Review
17234.0,Chart Review Order report viewed,Amb/IP Result Report v2: Lab and Imaging,5118,18.4820080134603,Chart Review
17008.0,Report with patient data viewed,IP MAR,2409,18.3178410747316,Chart Review
19125.0,Patient Chart Advisories viewed,PATIENT CHART ADVISORIES REPORT,7374,18.1692235496309,BPA
19120.0,Identity report accessed,ID PATIENT LOOKUP: EXPANDED DETAILS REPORT BJC,11566,17.6451127677493,Navigator
17259.0,Patient SnapShot viewed,AMB PATIENT SNAPSHOT (HTML/CSS),11543,17.5306953234142,Navigator
17215.0,Release Orders activity accessed,,4393,17.4180777653058,Order Entry
33500.0,Radar Dashboard accessed,,3504,17.3113309680091,Navigator
,Growth Chart activity accessed,,1335,17.1567790728145,Chart Review
17008.0,Report with patient data viewed,ED RESIDENT RESUSCITATION CRITERIA,7254,17.0760802033212,Chart Review
17234.0,Chart Review Order report viewed,HSD Results Report: OR GI Procedure Performed,4923,17.069107240041,Chart Review
17008.0,Report with patient data viewed,Rx ordering instructions vancomycin,5847,17.0118889986144,Chart Review
17333.0,Actions taken from a BestPractice Advisory,,3631,16.9884657054477,BPA
,Follow-up modified,,2197,16.8536392413245,Note Entry
17227.0,Chart Review Note report viewed,ED Triage Notes,3858,16.5885847992367,Note Review
17174.0,Document created,,1589,16.2887589799033,Note Entry
17008.0,Report with patient data viewed,ED Storyboard Bed and Status Hover Bubble,2577,16.2074796920352,Chart Review
17234.0,Chart Review Order report viewed,BW IMAGING REPORT HYPERLINK - DYNAMIC,4660,15.9655154424243,Results Review
17008.0,Report with patient data viewed,AN Procedure Summary Report for Storyboard,1343,15.8261201755205,Chart Review
17234.0,Chart Review Order report viewed,BW CV Cardiac Cath Report,1241,15.5729234030511,Results Review
17008.0,Report with patient data viewed,IP Pain Management,2446,15.0853954315185,Chart Review
