token ID,tsne_x,tsne_y,action,metric_category,count,time_diff
5,62.7,-1.1,Report viewed-HKU PATIENT SUMMARY WITH ROUNDING INFO,Chart Review,30216,81.90924832
48,62.0,0.4,Mobile platform opened patient-nan,,28765,3.952453444
292,62.8,-0.3,Allergies viewed-nan,,28052,1.842922381
293,63.1,0.4,Medications viewed-nan,Chart Review,28044,8.70137551
3,60.3,-0.3,Patient List printed-nan,,21478,14.57201782
6,64.1,-0.1,Notes Review accessed-nan,Note Review,19870,44.56293268
2,59.2,-0.8,Haiku login-nan,Navigation,16319,32.18950358
17,61.6,-0.7,Patient photo viewed-nan,Chart Review,15386,11.59495489
381,58.9,0.2,Mobile session created-nan,,14087,8.568691441
228,63.7,-1.1,Results List viewed-nan,Results Review,12918,38.22040138
18,64.6,0.6,Report viewed-Progress Notes,Note Review,12807,115.1336479
229,64.1,-2.0,Results table viewed-nan,Results Review,10894,60.52349392
230,62.4,-3.1,Active Orders viewed-nan,Order Entry,4178,54.43374753
232,64.7,-1.3,Report viewed-HKU ORDER RESULTS,Chart Review,3842,27.67056471
49,65.6,-0.6,Report viewed-H&P,Note Review,2505,33.52953658
697,66.8,-2.0,Report viewed-Telephone Encounter,Chart Review,2410,9.056551412
7,65.6,0.3,Report viewed-Consults,Note Review,2092,23.25602769
802,65.1,2.8,Notes Entry accessed-nan,Note Entry,1197,2.975159478
792,67.3,0.9,Report viewed-Nursing Note,Chart Review,1178,5.394988849
19,63.7,1.6,Encounter List viewed-nan,,1169,3.726741455
689,66.8,0.1,Report viewed-Significant Event,Chart Review,1086,7.299218324
294,63.6,2.5,Report viewed-CTO PATIENT ALLERGIES REPORT,Chart Review,1019,6.779081195
705,61.3,3.9,Image imported-nan,,770,8.256265599
838,66.5,1.2,Report viewed-Procedures,Chart Review,758,3.552386113
775,69.0,2.3,Mobile patient Links accessed-nan,,690,0.517799698
1025,68.9,2.6,Report viewed-HKU ROUNDING REPORT W HANDOFF,Chart Review,639,5.639086077
355,67.5,-0.7,Report viewed-Discharge Summary,Chart Review,609,6.106068206
801,68.8,-1.1,Report viewed-ED Triage Notes,Chart Review,573,1.726676277
673,68.8,-0.1,Report viewed-ED Provider Notes,Chart Review,454,5.015992697
231,70.3,2.4,Epic Monitor activity accessed-nan,,410,2.894850901
710,62.3,3.5,Media Manager accessed-nan,,405,2.745301127
20,69.7,-2.8,Report viewed-HKU OP ENCOUNTER REPORT,Chart Review,388,2.302485677
973,66.6,9.1,Report viewed-HKU IB CC CHARTS MESSAGE REPORT,Chart Review,292,0.046760376
